auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.5535714285714286,0.3262421347418708,0.10526315789473684,0.07142857142857142,0.2,0.9090909090909091,0.7068965517241379,1
0.5811688311688311,0.33215519965179674,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.8863636363636364,0.7068965517241379,2
0.5275974025974026,0.3226159985656196,0.16666666666666666,0.14285714285714285,0.2,0.8181818181818182,0.6551724137931034,3
0.5316239316239316,0.26334104801846736,0.11764705882352941,0.07692307692307693,0.25,0.9333333333333333,0.7413793103448276,4
0.6066433566433567,0.4180046882688922,0.2,0.15384615384615385,0.2857142857142857,0.8863636363636364,0.7192982456140351,5
0.650974025974026,0.44555979575512916,0.21052631578947367,0.14285714285714285,0.4,0.9318181818181818,0.7413793103448276,6
0.6006493506493507,0.38797194557813564,0.2222222222222222,0.14285714285714285,0.5,0.9545454545454546,0.7586206896551724,7
0.5146103896103895,0.25545893051320756,0.16,0.14285714285714285,0.18181818181818182,0.7954545454545454,0.6379310344827587,8
0.5811965811965812,0.2976022723200724,0.10526315789473684,0.07692307692307693,0.16666666666666666,0.8888888888888888,0.7068965517241379,9
0.46678321678321677,0.22865488771918124,0.19047619047619047,0.15384615384615385,0.25,0.8636363636363636,0.7017543859649122,10
0.5616883116883117,0.33314295988346765,0.21052631578947367,0.14285714285714285,0.4,0.9318181818181818,0.7413793103448276,11
0.7516233766233766,0.4708612847585247,0.2,0.14285714285714285,0.3333333333333333,0.9090909090909091,0.7241379310344828,12
0.6444805194805194,0.35752483186807144,0.24,0.21428571428571427,0.2727272727272727,0.8181818181818182,0.6724137931034483,13
0.5504273504273505,0.4733329954093527,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.9555555555555556,0.8103448275862069,14
0.701048951048951,0.4226972144737244,0.25,0.15384615384615385,0.6666666666666666,0.9772727272727273,0.7894736842105263,15
