auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.6590909090909091,0.4740165151300748,0.375,0.42857142857142855,0.3333333333333333,0.7272727272727273,0.6551724137931034,1
0.5892857142857142,0.36939999792400774,0.3333333333333333,0.35714285714285715,0.3125,0.75,0.6551724137931034,2
0.625,0.3566711928513171,0.3870967741935484,0.42857142857142855,0.35294117647058826,0.75,0.6724137931034483,3
0.541880341880342,0.34231619732395785,0.27586206896551724,0.3076923076923077,0.25,0.7333333333333333,0.6379310344827587,4
0.5821678321678322,0.3341495181099849,0.4666666666666667,0.5384615384615384,0.4117647058823529,0.7727272727272727,0.7192982456140351,5
0.672077922077922,0.39339737388049656,0.3783783783783784,0.5,0.30434782608695654,0.6363636363636364,0.603448275862069,6
0.6493506493506493,0.3472252852399706,0.3225806451612903,0.35714285714285715,0.29411764705882354,0.7272727272727273,0.6379310344827587,7
0.7191558441558441,0.5635859697781108,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.7272727272727273,0.7241379310344828,8
0.48888888888888893,0.25587015637664046,0.25,0.3076923076923077,0.21052631578947367,0.6666666666666666,0.5862068965517241,9
0.4527972027972028,0.22676550860196645,0.16,0.15384615384615385,0.16666666666666666,0.7727272727272727,0.631578947368421,10
0.5357142857142857,0.33068442745293314,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.7954545454545454,0.6896551724137931,11
0.7110389610389609,0.5064877400235456,0.5384615384615384,0.5,0.5833333333333334,0.8863636363636364,0.7931034482758621,12
0.6363636363636362,0.3832321126141027,0.42105263157894735,0.5714285714285714,0.3333333333333333,0.6363636363636364,0.6206896551724138,13
0.5264957264957265,0.2858140925367816,0.3333333333333333,0.38461538461538464,0.29411764705882354,0.7333333333333333,0.6551724137931034,14
0.5856643356643356,0.31411523284314147,0.4666666666666667,0.5384615384615384,0.4117647058823529,0.7727272727272727,0.7192982456140351,15
