Symbol
AKT3
ATP6V1FP2
RRAGB
LAMTOR5
NPRL2
RRAGA
TBC1D7-LOC100130357
P3R3URF-PIK3R3
FZD10
CHUK
ATP6V1G3
SLC38A9
DVL1
DVL2
DVL3
EIF4B
EIF4E
EIF4EBP1
FLCN
AKT1
AKT2
RNF152
LPIN1
ATP6V1C2
MTOR
RICTOR
EIF4E1B
FZD2
RPS6KA6
GRB2
GRB10
LAMTOR2
GSK3B
HRAS
IGF1
IGF1R
IKBKB
INS
INSR
IRS1
KRAS
RHOA
LAMTOR4
LRP6
LRP5
NRAS
TBC1D7
ATP6V1D
WNT16
ATP6V1H
PDPK1
CAB39
ATP6V1A
ATP6V1B1
ATP6V1B2
ATP6V1C1
ATP6V1E1
PIK3CA
PIK3CB
PIK3CD
PIK3R1
PIK3R2
ATP6V1G2
WNT4
MIOS
DDIT4
LAMTOR1
STRADB
PRR5
PRKAA1
PRKAA2
PRKCA
PRKCB
PRKCG
MAPK1
MAPK3
MAP2K1
MAP2K2
PTEN
RPTOR
FNIP2
RRAGD
RAF1
RHEB
RPS6
RPS6KA1
RPS6KA2
RPS6KA3
RPS6KB1
RPS6KB2
CLIP1
SEC13
RRAGC
MLST8
SGK1
DEPTOR
LPIN3
SKP2
SLC3A2
CASTOR1
SOS1
SOS2
BRAF
STK11
TNF
TNFRSF1A
TSC1
TSC2
CASTOR2
WNT1
WNT2
WNT3
WNT5A
WNT6
WNT7A
WNT7B
WNT8A
WNT8B
WNT10B
WNT11
WNT2B
WNT9A
WNT9B
FZD5
MAPKAP1
WDR59
FZD3
PRR5L
WNT10A
WNT5B
NPRL3
SLC7A5
CAB39L
SEH1L
FZD1
FZD4
FZD6
FZD7
FZD8
FZD9
SESN2
ULK1
WDR24
AKT1S1
PIK3R3
LAMTOR3
WNT3A
ATP6V1E2
STRADA
ATP6V1F
EIF4E2
ATP6V1G1
FNIP1
LPIN2
TTI1
DEPDC5
ULK2
TELO2
