Symbol
AKT1
AKT2
AKT3
BAD
CASP9
CCN1
CCN2
CCN3
CSNK2A1
CSNK2A2
CSNK2A3
CSNK2B
ELK1
ERAS
FOS
FOXO1
FOXO3
GRB10
GRB2
HRAS
IGF1
IGF1R
IGFBP1
IGFBP2
IGFBP3
IGFBP4
IGFBP5
IGFBP6
IGFBP7
IRS1
IRS2
JAK1
JAK2
JUN
KRAS
MAP2K1
MAP2K2
MAPK1
MAPK14
MAPK3
MAPK8
MRAS
NEDD4
NRAS
PDPK1
PIK3C2A
PIK3C2B
PIK3C2G
PIK3C3
PIK3CA
PIK3CB
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PIK3R3
PIK3R4
PIK3R5
PIK3R6
PRKACA
PRKACB
PRKACG
PRKAG1
PRKAG2
PRKAR1A
PRKAR1B
PRKAR2A
PRKAR2B
PRKCI
PRKCZ
PTK2
PTPN11
PXN
RAF1
RALA
RALB
RAP1A
RAP1B
RAP2A
RAP2B
RASA1
RASD1
RASD2
RPS6KB1
RPS6KB2
RRAS
RRAS2
SFN
SHC1
SOCS1
SOCS2
SOCS3
SOCS4
SOCS5
SOCS6
SOCS7
SOS1
SOS2
SRF
STAT3
YWHAB
YWHAE
YWHAG
YWHAH
YWHAQ
YWHAZ
