feature_group,n_features,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,test_f1
Clinical Only,27,0.7137576312576313,0.037608454449398754,0.4906705974396209,0.07348752681305387,0.7274159663865547,0.43956919203695993,0.5416666666666666
Clinical + Top100 Genes,127,0.6911505161505161,0.04423419671997407,0.4651401381493844,0.09735763139845403,0.7258403361344538,0.3787553281973579,0.5833333333333334
Clinical + Gene (Full),906,0.6744172494172496,0.046763494758937735,0.42330442382637273,0.08697210284177331,0.7016806722689075,0.37341380322879375,0.4888888888888889
Gene Only,879,0.5577133977133977,0.08378777395020857,0.30870503576129,0.05699809629580408,0.5714285714285714,0.2852390986673711,0.4
