auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.7792207792207793,0.5522988795869687,0.5454545454545454,0.6428571428571429,0.47368421052631576,0.7727272727272727,0.7413793103448276,1
0.5081168831168832,0.28703361983991255,0.17391304347826086,0.14285714285714285,0.2222222222222222,0.8409090909090909,0.6724137931034483,2
0.676948051948052,0.4941219748087322,0.38095238095238093,0.2857142857142857,0.5714285714285714,0.9318181818181818,0.7758620689655172,3
0.505982905982906,0.3131184063481073,0.32,0.3076923076923077,0.3333333333333333,0.8222222222222222,0.7068965517241379,4
0.6258741258741259,0.42987810275730104,0.23529411764705882,0.15384615384615385,0.5,0.9545454545454546,0.7719298245614035,5
0.3944805194805195,0.20858576865316578,0.0,0.0,0.0,1.0,0.7586206896551724,6
0.6785714285714286,0.4082593372624409,0.4666666666666667,0.5,0.4375,0.7954545454545454,0.7241379310344828,7
0.6314935064935064,0.432864461425451,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.9090909090909091,0.7413793103448276,8
0.7094017094017095,0.5148849160391289,0.3,0.23076923076923078,0.42857142857142855,0.9111111111111111,0.7586206896551724,9
0.34090909090909094,0.19642700001596475,0.37142857142857144,1.0,0.22807017543859648,0.0,0.22807017543859648,10
0.38636363636363635,0.2129786242053545,0.0,0.0,0.0,1.0,0.7586206896551724,11
0.4594155844155844,0.2228153277757677,0.0,0.0,0.0,0.7954545454545454,0.603448275862069,12
0.23214285714285715,0.16598846181551857,0.0,0.0,0.0,1.0,0.7586206896551724,13
0.5794871794871795,0.3057126972011116,0.3333333333333333,0.38461538461538464,0.29411764705882354,0.7333333333333333,0.6551724137931034,14
0.56993006993007,0.3129261976960717,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.8181818181818182,0.7192982456140351,15
