auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.7256493506493507,0.46523796661742334,0.0,0.0,0.0,1.0,0.7586206896551724,1
0.40665584415584416,0.23612213589969633,0.0,0.0,0.0,1.0,0.7586206896551724,2
0.6704545454545454,0.421304636573244,0.1111111111111111,0.07142857142857142,0.25,0.9318181818181818,0.7241379310344828,3
0.664957264957265,0.5340611960757151,0.0,0.0,0.0,1.0,0.7758620689655172,4
0.666083916083916,0.3320600033284601,0.0,0.0,0.0,1.0,0.7719298245614035,5
0.6314935064935066,0.35752107133264915,0.11764705882352941,0.07142857142857142,0.3333333333333333,0.9545454545454546,0.7413793103448276,6
0.663961038961039,0.43151028258532786,0.3333333333333333,0.21428571428571427,0.75,0.9772727272727273,0.7931034482758621,7
0.676948051948052,0.4625397867037664,0.0,0.0,0.0,1.0,0.7586206896551724,8
0.7760683760683761,0.5102828843318689,0.0,0.0,0.0,0.9777777777777777,0.7586206896551724,9
0.6975524475524475,0.42064247010677025,0.0,0.0,0.0,0.9772727272727273,0.7543859649122807,10
0.663961038961039,0.46524302641854065,0.13333333333333333,0.07142857142857142,1.0,1.0,0.7758620689655172,11
0.6071428571428571,0.4021139561181637,0.0,0.0,0.0,1.0,0.7586206896551724,12
0.788961038961039,0.5575061618850438,0.0,0.0,0.0,1.0,0.7586206896551724,13
0.5837606837606838,0.40801684291046,0.14285714285714285,0.07692307692307693,1.0,1.0,0.7931034482758621,14
0.6031468531468531,0.3026501773225367,0.0,0.0,0.0,0.9772727272727273,0.7543859649122807,15
