auroc,auprc,f1,recall,precision,specificity,accuracy,fold
0.6363636363636364,0.38755138419003965,0.0,0.0,0.0,1.0,0.7586206896551724,1
0.5681818181818181,0.2906415404783505,0.0,0.0,0.0,1.0,0.7586206896551724,2
0.577922077922078,0.31224406796927584,0.0,0.0,0.0,1.0,0.7586206896551724,3
0.5367521367521368,0.3286368791345584,0.13333333333333333,0.07692307692307693,0.5,0.9777777777777777,0.7758620689655172,4
0.6118881118881119,0.3336684939555946,0.0,0.0,0.0,1.0,0.7719298245614035,5
0.6525974025974026,0.34507107693602274,0.0,0.0,0.0,1.0,0.7586206896551724,6
0.6477272727272727,0.38073969331322266,0.0,0.0,0.0,1.0,0.7586206896551724,7
0.6168831168831169,0.4380391083711157,0.0,0.0,0.0,1.0,0.7586206896551724,8
0.6188034188034188,0.37203704667496584,0.0,0.0,0.0,1.0,0.7758620689655172,9
0.44405594405594406,0.23418117680161576,0.13333333333333333,0.07692307692307693,0.5,0.9772727272727273,0.7719298245614035,10
0.5633116883116883,0.33424008672527095,0.0,0.0,0.0,0.9772727272727273,0.7413793103448276,11
0.6087662337662338,0.34460190025133397,0.0,0.0,0.0,1.0,0.7586206896551724,12
0.6201298701298701,0.3670879055563593,0.0,0.0,0.0,1.0,0.7586206896551724,13
0.5085470085470086,0.2804471068854547,0.0,0.0,0.0,1.0,0.7758620689655172,14
0.6241258741258742,0.29286639899983125,0.0,0.0,0.0,1.0,0.7719298245614035,15
